iter	RMSE
0	123.7334767
1	121.549524
2	118.8423065
3	116.8461353
4	114.5623605
5	112.1296176
6	110.0409392
7	108.1071682
8	106.2537632
9	104.3613576
10	102.1980044
11	100.4289495
12	98.83606611
13	96.94973333
14	95.46084583
15	93.84335992
16	92.68032903
17	91.2548337
18	89.81092996
19	88.3667006
20	86.72001249
21	85.06056279
22	83.75420822
23	82.4391465
24	81.14031382
25	79.74003797
26	78.74846528
27	77.53788904
28	76.58861839
29	75.51170316
30	74.14302503
31	73.1563823
32	72.10653561
33	71.04001477
34	70.02852829
35	68.98632172
36	68.09339922
37	67.06773063
38	66.35145651
39	65.62350204
40	64.8574904
41	64.22793831
42	63.47598331
43	62.71613675
44	62.07216653
45	61.23392006
46	60.6391778
47	59.96945646
48	59.31711207
49	58.63299841
50	58.03606488
51	57.46490036
52	57.00214198
53	56.331066
54	55.75988969
55	55.22508374
56	54.6824018
57	54.13361428
58	53.60709282
59	53.01674989
60	52.49160678
61	52.01896938
62	51.55929206
63	51.0703575
64	50.60948521
65	49.98617138
66	49.46705688
67	48.94408339
68	48.48149588
69	48.10904625
70	47.78734794
71	47.35387238
72	47.01747335
73	46.6044324
74	46.17118954
75	45.83823148
76	45.43990568
77	45.02962527
78	44.58499188
79	44.27991588
80	43.93782989
81	43.52846715
82	43.21438601
83	42.92594471
84	42.62020165
85	42.27410994
86	41.86624887
87	41.60616156
88	41.41495771
89	41.14229533
90	40.90627094
91	40.59419108
92	40.36597599
93	40.17805508
94	39.96943976
95	39.65865954
96	39.38203715
97	39.10370711
98	38.79457064
99	38.53303172
100	38.26244383
101	38.07534988
102	37.88402211
103	37.62413524
104	37.41000406
105	37.17129873
106	36.95675901
107	36.7403617
108	36.45410196
109	36.246066
110	36.04405553
111	35.77016904
112	35.5113119
113	35.27465065
114	35.11449852
115	34.88284567
116	34.70417154
117	34.5063577
118	34.26785093
119	34.07816672
120	33.90594066
121	33.67161599
122	33.5321641
123	33.28594794
124	33.07811232
125	32.88985491
126	32.67171857
127	32.59414652
128	32.42389029
129	32.29000278
130	32.16101766
131	31.92619642
132	31.64514347
133	31.52037042
134	31.33212541
135	31.18703146
136	31.14388133
137	30.92758641
138	30.76825095
139	30.7284043
140	30.59348207
141	30.4044714
142	30.2575635
