iter	RMSE
0	123.8856487
1	121.2440411
2	118.3302191
3	115.447832
4	113.0008236
5	111.0312298
6	108.5551738
7	106.3834609
8	104.2152132
9	102.3112658
10	100.0818055
11	98.24176644
12	96.46747225
13	94.66383829
14	93.05676902
15	91.5470876
16	89.78860764
17	87.94691777
18	86.19681524
19	84.81814518
20	83.49942298
21	82.11275617
22	80.68117388
23	79.45633465
24	78.29007428
25	76.96255991
26	75.90995295
27	74.8229449
28	73.72581581
29	72.69253791
30	71.56979687
31	70.56858792
32	69.88101048
33	68.93913723
34	67.98610409
35	67.0269677
36	66.27076398
37	65.44902335
38	64.65197868
39	63.75126409
40	63.05001732
41	62.1254218
42	61.29522829
43	60.5825398
44	59.8239696
45	59.25461674
46	58.60219825
47	58.01228147
48	57.37866034
49	56.78504933
50	56.08756607
51	55.47912968
52	54.88941569
53	54.16468009
54	53.6503071
55	53.06308199
56	52.48896573
57	51.908808
58	51.45055125
59	51.03737567
60	50.63189727
61	50.16501401
62	49.65113309
63	49.21254997
64	48.80816533
65	48.35068136
66	48.00717053
67	47.47659539
68	46.94890334
69	46.47271744
70	46.09328169
71	45.64498413
72	45.23051804
73	44.96054591
74	44.57827516
75	44.14447214
76	43.87430958
77	43.47905251
78	43.04590088
79	42.73082314
80	42.38006208
81	42.0815425
82	41.75765815
83	41.50039522
84	41.09807193
85	40.80539226
86	40.56598558
87	40.29973458
88	39.99203085
89	39.75989442
90	39.52467926
91	39.26287957
92	39.07142109
93	38.73823321
94	38.47057
95	38.18267108
96	38.01497074
97	37.77441623
98	37.52575803
99	37.27362887
100	37.06148793
101	36.94713179
102	36.7722389
103	36.51523055
104	36.21414471
105	35.93809619
106	35.61498714
107	35.35155077
108	35.17321819
109	34.98533437
110	34.70653146
111	34.5189881
112	34.37326662
113	34.23909395
114	33.95983581
115	33.80548304
116	33.62613091
117	33.4192466
118	33.19351422
119	32.97864593
120	32.81458966
121	32.6095745
122	32.39225522
123	32.18170996
124	31.96220485
125	31.82933527
126	31.62457053
127	31.47838914
128	31.3377961
129	31.22551415
130	31.05218759
131	30.89419264
132	30.78644596
133	30.68055969
134	30.49620077
135	30.32803257
136	30.17849025
137	30.07188558
138	29.95275453
139	29.79828745
140	29.61915421
141	29.45032922
142	29.30500387
143	29.11984023
144	28.98925097
145	28.90217792
146	28.77881793
147	28.62646872
148	28.4703383
149	28.38547275
150	28.28659179
151	28.16583856
152	28.1114034
153	27.96787754
154	27.84272027
155	27.71782148
156	27.58375615
157	27.48777374
158	27.41560353
159	27.34076447
160	27.20067984
161	27.12539706
162	26.93141185
163	26.76254459
164	26.70605542
165	26.59472222
166	26.41483615
167	26.24165571
168	26.16128568
169	26.00120807
170	25.90369615
171	25.79722764
172	25.72422423
173	25.60077729
174	25.52158165
175	25.44451612
176	25.36004109
177	25.21715534
178	25.12303175
179	25.02730888
180	24.86990807
181	24.76444614
182	24.70124056
183	24.56184403
184	24.44195471
185	24.3813438
186	24.31989596
187	24.2661223
188	24.14651712
189	24.04717724
190	24.00801467
191	23.92184164
192	23.79031453
193	23.73421082
194	23.60917549
195	23.52837834
196	23.40679787
197	23.3544326
198	23.28650163
199	23.1578344
200	23.09974311
201	23.01471558
202	22.94878086
203	22.83150004
204	22.76299906
205	22.64767503
206	22.53261306
207	22.42076165
208	22.34751695
209	22.22716395
210	22.17145363
211	22.06250613
212	22.0129806
213	21.97093034
214	21.86389507
215	21.7694915
216	21.66914194
217	21.63141479
218	21.57578776
219	21.46784904
220	21.34957779
221	21.25256209
222	21.11791981
223	21.0479955
224	20.94800892
225	20.89079591
226	20.84108974
227	20.71852856
228	20.62105175
229	20.56546373
230	20.47463259
231	20.41708776
232	20.33258833
233	20.28281706
234	20.23707797
235	20.14074143
236	20.02930866
237	19.94534848
238	19.8465133
239	19.76887487
240	19.68911957
241	19.65534613
242	19.55950148
243	19.48408387
244	19.39106543
245	19.36517173
246	19.29183972
247	19.25963436
248	19.20164812
249	19.13041746
250	19.08207003
251	19.01189467
252	18.95683135
253	18.88052371
254	18.81535438
255	18.72564473
256	18.63204058
257	18.55843807
258	18.52426455
259	18.4539539
260	18.38745299
261	18.30272694
262	18.25319937
263	18.20951776
264	18.13928746
265	18.08278724
266	18.02703271
267	17.99102592
268	17.90917789
269	17.87749015
270	17.80133592
271	17.77971955
272	17.72304674
273	17.64063055
274	17.57853942
275	17.53328082
276	17.47124145
277	17.42028212
278	17.36912074
279	17.3426913
280	17.29313806
281	17.25953518
282	17.23409256
283	17.20910988
284	17.18457853
285	17.13462819
286	17.08969242
287	17.06231929
288	17.03842554
289	16.96837686
290	16.89646648
291	16.82687813
292	16.79712669
293	16.72123586
294	16.69467714
295	16.61439403
296	16.59925249
297	16.50049869
298	16.45075215
299	16.38125764
300	16.30042548
301	16.27350112
302	16.24533001
303	16.21821582
304	16.15967768
305	16.1042954
306	16.01890903
307	16.00574621
308	15.94105178
309	15.87159585
310	15.78468328
311	15.71616612
312	15.66499062
313	15.59884988
314	15.54775923
315	15.47979859
316	15.42933565
317	15.37159224
318	15.36110997
319	15.3101066
320	15.29760824
321	15.19964242
322	15.15973095
323	15.12977791
324	15.0433513
325	14.99280296
326	14.93171235
327	14.92179338
328	14.87523982
329	14.86564594
330	14.81748667
331	14.80560472
332	14.75412376
333	14.69510225
334	14.64789832
335	14.613268
336	14.60419433
337	14.53440248
338	14.48680337
339	14.47553405
340	14.41819426
341	14.36039651
342	14.31740151
343	14.30872099
344	14.28275479
345	14.20015636
346	14.14114661
347	14.10958653
348	14.06592794
349	14.02320685
350	13.99568955
351	13.95208322
352	13.93800186
353	13.93087457
354	13.90296777
355	13.89598747
356	13.83905814
357	13.81164377
358	13.79137432
359	13.75239233
360	13.730681
361	13.68834901
362	13.63036052
363	13.56771006
364	13.54513391
365	13.52396864
366	13.5037073
367	13.48337201
368	13.45694424
369	13.43744841
370	13.38796735
371	13.36456495
372	13.31333381
373	13.25304585
374	13.19151415
375	13.16528
376	13.14586268
377	13.12147655
378	13.06808978
379	13.00372811
380	12.92343864
381	12.90434685
382	12.88602387
383	12.85518567
384	12.82857876
385	12.77140673
386	12.72272218
387	12.70200279
388	12.635238
389	12.57004061
390	12.55116892
391	12.5162744
392	12.49210928
393	12.42687682
394	12.38417925
395	12.36588747
396	12.31860855
397	12.27712509
398	12.21979406
399	12.20048794
400	12.16434646
401	12.07661325
402	12.03165811
403	11.98111887
404	11.95543425
405	11.93743455
406	11.88659007
407	11.86233429
408	11.82521141
409	11.77316537
410	11.75484355
411	11.71747078
412	11.69977504
413	11.68288948
414	11.66534067
415	11.57395099
416	11.55743908
417	11.5249208
418	11.50815476
419	11.47617799
420	11.47030281
421	11.46454097
422	11.4232558
423	11.35860473
424	11.34697378
425	11.25568229
426	11.22984184
427	11.14200767
428	11.12645928
429	11.12095008
430	11.08160829
431	11.03924768
432	11.00013244
433	10.95215097
434	10.91385615
435	10.85964283
436	10.81575635
437	10.78154865
438	10.72842944
439	10.69820687
440	10.62809545
441	10.55665796
442	10.51538079
443	10.49118795
444	10.44029466
445	10.39795407
446	10.34796336
447	10.33697272
448	10.27885083
449	10.24502756
450	10.22035514
451	10.17084051
452	10.14194376
453	10.07077708
454	10.04415813
455	10.01599968
456	9.989283239
457	9.961036168
458	9.957827967
459	9.935030532
460	9.890648459
461	9.827090066
462	9.764843293
463	9.735158713
464	9.708164521
465	9.686495006
466	9.659579121
467	9.590028068
468	9.577839667
469	9.571815613
470	9.549266681
471	9.537358964
472	9.534445031
473	9.501426325
474	9.446549644
475	9.443579632
476	9.422884478
477	9.381233994
478	9.378435663
479	9.351816356
480	9.331243432
481	9.283073719
482	9.280362351
483	9.258454721
484	9.255799945
485	9.1840255
486	9.144042775
487	9.141435387
488	9.074362664
489	9.053087543
490	8.990769863
491	8.969945842
492	8.93599625
493	8.920131616
494	8.896550303
495	8.865036361
496	8.820877988
497	8.773536016
498	8.746266545
499	8.691708722
500	8.656898559
501	8.630385436
502	8.604562992
503	8.561065071
504	8.521219328
505	8.481959256
506	8.443583766
507	8.42693376
508	8.420993584
509	8.417642599
510	8.395842926
511	8.363253399
512	8.314391829
513	8.273502314
514	8.231604367
515	8.229584618
516	8.199107705
517	8.19673345
518	8.179284263
519	8.176969932
520	8.160063905
521	8.156781756
522	8.118336386
523	8.07785417
524	8.047082307
525	8.043622886
526	8.012373275
527	7.976088225
528	7.926730174
529	7.924926856
530	7.92156364
531	7.904865418
532	7.854990263
533	7.794714785
534	7.792711892
535	7.790530267
536	7.776796851
537	7.747198749
538	7.745270109
539	7.709990466
540	7.67938912
541	7.663770112
542	7.614955618
543	7.588518199
544	7.574119428
545	7.558651215
546	7.524854184
547	7.469362435
548	7.46760523
549	7.437809079
550	7.435563189
551	7.433784309
552	7.38969032
553	7.387959229
554	7.355604683
555	7.353871224
556	7.303249716
557	7.292903876
558	7.290467655
559	7.280311709
560	7.261835376
561	7.260006947
562	7.242209112
563	7.214369949
564	7.172842521
565	7.123793758
566	7.112001323
567	7.107724127
568	7.086617499
569	7.048735935
570	7.047216905
571	7.006115319
572	6.981899362
573	6.960493633
